"Topic", "Message type", "Description"
"obstacles/static", "avt_341_msgs/msg/StaticObstacleArray", "Static obstacles parsed from the occupancy grid."
"markers", "visualization_msgs/msg/MarkerArray", "Markers for the parsed obstacles and the search region. Only published if visualization is enabled."
